Model,Val_ADE_m,Val_FDE_m,Test_ADE_m,Test_FDE_m,Trained_epochs,Best_epoch
Random Forest,95.1049575805664,250.31640625,97.31243133544922,242.66293334960932,,
RNN,106.5066375732422,276.2860107421875,87.83277893066406,225.0796661376953,100.0,95.0
LSTM,120.8926010131836,308.3294982910156,90.10045623779295,230.9505615234375,100.0,70.0
HINN,89.0826416015625,226.0316925048828,84.92430877685547,207.217529296875,100.0,31.0
