Model,Val_ADE_m,Val_FDE_m,ADE_m,FDE_m,Median_ADE_m,Median_FDE_m,P90_ADE_m,P90_FDE_m,Trained_epochs,Best_epoch
Random Forest,95.1049575805664,250.31640625,97.31243133544922,242.66293334960932,65.65849304199219,165.84597778320312,205.30584716796875,520.1218872070312,,
RNN,106.5066375732422,276.2860107421875,87.83277893066406,225.0796661376953,57.69639587402344,140.5438995361328,189.0124053955078,518.436279296875,100.0,95.0
LSTM,120.8926010131836,308.3294982910156,90.10045623779295,230.9505615234375,59.01546478271485,146.74122619628906,191.3376617431641,514.1423950195312,100.0,70.0
HINN,89.0826416015625,226.0316925048828,84.92430877685547,207.217529296875,59.03680038452149,142.47750854492188,186.76173400878903,470.7428588867188,100.0,31.0
