Scenario,SampleIndex,MMSI,Path_m,TrueTurn_rad,PredTurn_rad,ADE_m,FDE_m,AnchorLat,AnchorLon,GeoMatchRMSE_m
Straight,340,352001126,1635.6162109375,0.012736911732810765,-0.013251441518921075,39.53165222074423,86.13982088099173,10.428696669802829,106.9832516984449,3.76877208152649e-05
Straight,1113,574480000,1883.2789306640625,0.011616538155367617,-0.005527814147778476,39.53529488012252,90.51542905501533,10.304593414733816,107.27808965659342,5.213835570509056e-05
Moderate curve,181,229786000,2139.126953125,-0.2603932820844112,-0.48802888862040256,82.19974266230403,266.88736750830975,10.518712500677315,106.89485914886572,6.777218832171147e-05
Moderate curve,1174,574480000,1759.0909423828125,-0.3097689901242511,-0.06388326558610691,81.97603553351391,267.71750815856484,10.281698469481949,107.19478013945012,5.75366664712724e-05
Strong curve,97,229786000,2066.920166015625,0.769767890313264,0.4415690081285159,194.41548187010935,479.2312518739583,10.479088329243474,106.94596829803376,5.99661050158027e-05
Strong curve,272,352001126,1637.9752197265625,0.81886849067328,0.39633074506535226,194.09766380134698,498.05125151028886,10.473822774893506,106.94171223514175,4.0052807491700366e-05
Long 1.8–3.0 km,111,229786000,1838.822265625,0.12504502052163743,-0.34044452743323955,116.95506361325367,332.1922526254682,10.495304450293572,106.9501563222078,3.158487567572165e-05
Long 1.8–3.0 km,1118,574480000,1868.5465087890625,0.002651750473023344,-0.041137428634841766,103.78225112052989,220.35535015316609,10.30345666871096,107.27243499624336,4.685519571416889e-05
Offshore,709,574001570,1195.3294677734375,-0.11262091960863269,-0.013637649404224801,49.054692963061356,139.87688835183667,10.203428885367893,107.11675110095932,3.0363121763622846e-05
Offshore,1373,636018224,1000.5574951171875,0.05562959140163393,-0.22856757164980776,48.85705955531492,124.50873005517508,10.242035005422473,107.10594499890333,2.4993029046013895e-05
Channel/approach,175,229786000,2074.89892578125,0.07973246919950315,-0.18323074332670508,132.589266929978,351.89014139494213,10.51719082919874,106.90202415267848,7.792795557582049e-05
Channel/approach,242,352001126,1739.1246337890625,-0.4270579710342085,0.3250149980715672,132.48681285780145,393.41912973125943,10.502539264269812,106.94967757785844,3.7035533609237804e-05
